EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
1.4318,93.08,1.0348,1.6166,1.0482,0.8857,133.29,1.482,0.8991,150.51,89.9,1.673,0.7264
1.4411,92.54,1.0298,1.6099,1.0412,0.895,133.39,1.4839,0.9124,149.01,89.87,1.6577,0.7336
1.4366,91.65,1.0334,1.5993,1.0387,0.8981,131.68,1.4847,0.9115,146.61,88.69,1.6529,0.734
1.4412,92.32,1.0275,1.6023,1.0314,0.8994,133.08,1.4808,0.9201,147.94,89.86,1.6462,0.7377
1.4319,93.27,1.0335,1.5936,1.0348,0.8984,133.56,1.48,0.917,148.63,90.23,1.6472,0.7317
1.4411,92.59,1.0238,1.6029,1.0306,0.8991,133.44,1.4755,0.9242,148.39,90.41,1.641,0.7366
1.4526,92.06,1.0151,1.6108,1.0329,0.9014,133.72,1.4751,0.9315,148.27,90.66,1.6356,0.7432
1.4487,90.95,1.0182,1.6162,1.04,0.896,131.76,1.4755,0.9197,147,89.3,1.6458,0.7381
1.4506,91.45,1.0181,1.6283,1.0302,0.8908,132.68,1.4777,0.924,148.93,89.78,1.6586,0.7397
1.4496,91.11,1.0184,1.6323,1.023,0.8879,132.07,1.4765,0.9312,148.7,89.44,1.6625,0.7424
1.4375,90.81,1.0269,1.6258,1.0295,0.884,130.55,1.4764,0.9229,147.63,88.41,1.6693,0.738
1.4386,90.76,1.0245,1.6326,1.0253,0.881,130.57,1.4739,0.9264,148.16,88.58,1.6725,0.739
1.4304,91.07,1.0311,1.6372,1.0302,0.8733,130.3,1.4748,0.9245,149.17,88.33,1.6883,0.739
1.4102,91.23,1.0439,1.6287,1.0475,0.8657,128.66,1.4722,0.9086,148.6,87.38,1.7006,0.72
1.4098,90.36,1.0416,1.6208,1.0502,0.8696,127.4,1.4689,0.9035,146.43,86.71,1.6891,0.7124
1.414,89.87,1.0411,1.611,1.058,0.8776,127.09,1.4724,0.9013,144.8,86.31,1.6773,0.7104
1.4153,90.21,1.0392,1.6232,1.0576,0.8719,127.7,1.4713,0.9046,146.46,86.8,1.687,0.7142
1.4076,89.66,1.0458,1.614,1.0619,0.8718,126.23,1.4725,0.8984,144.75,85.71,1.6886,0.7074
1.4018,89.96,1.0499,1.6158,1.0645,0.8672,126.11,1.472,0.8935,145.34,85.65,1.6968,0.7047
1.3971,89.85,1.0515,1.6128,1.0656,0.8663,125.55,1.4694,0.8945,144.93,85.42,1.6961,0.7047
1.3867,90.27,1.0604,1.6,1.0685,0.8664,125.2,1.4705,0.8856,144.46,85.12,1.6966,0.7016
1.3926,90.64,1.0567,1.5959,1.0622,0.8725,126.24,1.4718,0.8909,144.68,85.79,1.6865,0.7085
1.3963,90.34,1.0547,1.5978,1.0581,0.8735,126.16,1.4731,0.8865,144.35,85.62,1.6858,0.7122
1.3903,90.94,1.0586,1.5904,1.0614,0.874,126.41,1.4716,0.8834,144.61,85.89,1.6837,0.7082
1.3738,88.9,1.0657,1.575,1.0722,0.872,122.13,1.4643,0.8648,140.03,83.38,1.6789,0.6874
1.3652,89.33,1.0735,1.5623,1.0713,0.8737,121.98,1.4659,0.8657,139.58,83.2,1.6775,0.6866
1.3659,89.28,1.0724,1.5604,1.0744,0.8754,121.98,1.4649,0.8644,139.3,83.25,1.6733,0.683
1.378,89.63,1.0648,1.5697,1.0675,0.8777,123.46,1.4672,0.8774,140.68,84.17,1.6714,0.6948
1.3732,89.93,1.0679,1.5583,1.0625,0.8811,123.52,1.4669,0.8751,140.16,84.2,1.6644,0.6928
1.3681,89.73,1.0707,1.5694,1.0508,0.8716,122.75,1.4655,0.8906,140.78,83.76,1.6804,0.7005
1.3609,90,1.077,1.567,1.0513,0.8684,122.5,1.4659,0.8864,141.02,83.56,1.6876,0.6955
1.3597,89.96,1.0776,1.5662,1.0489,0.8676,122.31,1.4651,0.8891,140.86,83.47,1.6871,0.6978
1.3765,90.13,1.0659,1.5786,1.0431,0.8717,124.09,1.4676,0.9015,142.32,84.53,1.6832,0.7068
1.3607,91.19,1.0776,1.5678,1.0453,0.8676,124.1,1.4667,0.8999,142.96,84.61,1.6896,0.7034
1.3612,91.23,1.0772,1.5618,1.0413,0.8715,124.22,1.4667,0.9021,142.51,84.67,1.6827,0.7058
1.359,91.6,1.0769,1.5454,1.0404,0.8792,124.52,1.4641,0.8982,141.6,85.04,1.6649,0.6983
1.3597,91.1,1.076,1.548,1.0427,0.8781,123.85,1.4632,0.8993,141.03,84.65,1.666,0.7005
1.35,90.16,1.0842,1.5407,1.0566,0.8761,121.75,1.4638,0.8884,138.94,83.17,1.6706,0.6906
1.3532,90.2,1.0807,1.5395,1.054,0.879,122.06,1.4629,0.893,138.84,83.42,1.6642,0.6928
1.3558,89.07,1.0794,1.527,1.0586,0.8876,120.75,1.4635,0.8885,136,82.5,1.6478,0.6906
1.3613,88.91,1.0745,1.5246,1.0516,0.8927,121.05,1.4628,0.8962,135.59,82.75,1.638,0.6985
1.3558,89.07,1.079,1.4988,1.0415,0.9045,120.77,1.4635,0.9004,133.5,82.51,1.6178,0.6988
1.3608,88.68,1.0748,1.4961,1.0364,0.9095,120.71,1.4631,0.9033,132.71,82.48,1.6088,0.6959
1.3701,88.4,1.0671,1.5104,1.0309,0.9069,121.14,1.4626,0.9054,133.55,82.82,1.6124,0.6932
1.3587,89.05,1.0763,1.5035,1.0309,0.9036,121.05,1.4626,0.901,133.94,82.74,1.618,0.6862
1.3624,90.33,1.0738,1.5146,1.0293,0.8993,123.05,1.4632,0.9083,136.82,84.1,1.6262,0.6973
1.363,90.3,1.0738,1.506,1.0278,0.9049,123.09,1.4629,0.9091,135.98,84.11,1.6166,0.6999
1.3599,89.97,1.0749,1.4992,1.026,0.9068,122.35,1.4619,0.9135,134.91,83.68,1.6115,0.7025
1.3641,90.52,1.0709,1.496,1.0261,0.9118,123.48,1.4608,0.9141,135.38,84.51,1.6021,0.7019
1.3677,90.54,1.0686,1.5058,1.0234,0.9082,123.87,1.4617,0.915,136.35,84.73,1.6093,0.7004
1.3758,90.45,1.058,1.5181,1.0179,0.9061,124.47,1.4563,0.9156,137.32,85.44,1.6069,0.701
1.3671,90.51,1.0621,1.505,1.0194,0.9083,123.76,1.4523,0.9142,136.23,85.19,1.5986,0.7016
1.3778,90.24,1.0535,1.5257,1.0139,0.903,124.33,1.4516,0.919,137.65,85.63,1.6071,0.7097
1.3738,90.25,1.0543,1.5323,1.0099,0.8963,123.98,1.4484,0.9227,138.28,85.59,1.6152,0.714
1.3612,90.29,1.0571,1.5246,1.013,0.8927,122.87,1.4392,0.9214,137.6,85.38,1.6118,0.7151
1.3531,90.52,1.0601,1.5014,1.0168,0.9012,122.52,1.4349,0.9154,135.9,85.37,1.5918,0.708
1.3549,90.13,1.0582,1.5093,1.019,0.8977,122.13,1.4339,0.9175,136.03,85.16,1.5972,0.7066
1.35,90.41,1.0567,1.5044,1.0154,0.8971,122.07,1.4272,0.919,136.01,85.53,1.5901,0.7072
1.3331,92.13,1.0722,1.4889,1.0233,0.8953,122.82,1.4297,0.9089,137.15,85.89,1.5965,0.7026
1.328,92.69,1.0736,1.4815,1.0245,0.8962,123.12,1.426,0.9073,137.34,86.33,1.5907,0.7026
1.3423,92.48,1.065,1.4899,1.0264,0.9006,124.13,1.4297,0.904,137.8,86.82,1.5864,0.7038
1.3477,92.46,1.0623,1.498,1.0205,0.8995,124.64,1.4318,0.9175,138.5,87.03,1.5911,0.7094
1.3413,92.82,1.0663,1.5066,1.019,0.8902,124.51,1.4305,0.9182,139.82,87.02,1.6064,0.709
1.351,93.5,1.0538,1.5177,1.0152,0.8901,126.33,1.4238,0.9173,141.88,88.71,1.5995,0.7099
1.3585,93.84,1.0537,1.5287,1.0079,0.8886,127.51,1.4318,0.9199,143.48,89.03,1.6108,0.7071
1.3485,94.63,1.0635,1.5192,1.0096,0.8875,127.63,1.4346,0.9187,143.77,88.94,1.616,0.7057
1.3479,94.33,1.0623,1.5279,1.003,0.882,127.14,1.4321,0.9206,144.13,88.78,1.6234,0.7027
1.3402,93.73,1.0684,1.527,1.0008,0.8772,125.64,1.4321,0.9279,143.14,87.71,1.632,0.7062
1.3351,93.25,1.073,1.5245,1.0047,0.8756,124.49,1.4331,0.9269,142.12,86.86,1.6365,0.7068
1.3348,93.35,1.0735,1.5265,1.0027,0.8742,124.6,1.433,0.9278,142.52,86.93,1.6387,0.7061
1.3492,93.16,1.0655,1.5367,1.0036,0.8777,125.72,1.438,0.9324,143.19,87.42,1.6376,0.7151
1.3579,93.23,1.0598,1.5362,1.0035,0.8838,126.62,1.4394,0.9276,143.23,87.95,1.6284,0.7121
1.3589,93.13,1.055,1.5369,1.0015,0.8841,126.57,1.4339,0.9274,143.16,88.25,1.6213,0.7106
1.3654,93.2,1.0518,1.5465,0.9988,0.8828,127.23,1.4362,0.935,144.1,88.59,1.6262,0.7138
1.3574,93.02,1.056,1.5493,1.0031,0.8758,126.26,1.4336,0.9335,144.15,88.07,1.6366,0.7111
1.3504,92.13,1.0605,1.5389,1.0134,0.8774,124.41,1.4325,0.9252,141.78,86.84,1.6323,0.709
1.3486,92.39,1.063,1.5336,1.0144,0.8791,124.58,1.4336,0.9228,141.65,86.9,1.6299,0.7098
1.3444,93.14,1.0676,1.5369,0.9989,0.8745,125.23,1.4357,0.9315,143.15,87.2,1.6411,0.7105
1.3395,93.16,1.0696,1.5407,0.9997,0.8691,124.8,1.4333,0.9277,143.54,87.05,1.6483,0.7099
1.3311,93.51,1.0761,1.5382,0.9994,0.8652,124.48,1.4331,0.9283,143.84,86.85,1.6558,0.711
1.3371,94.06,1.073,1.5369,0.9991,0.8698,125.77,1.4352,0.9263,144.57,87.62,1.6492,0.7161
1.3363,93.97,1.0735,1.5455,1.0011,0.8645,125.63,1.4355,0.9269,145.22,87.5,1.66,0.7226
